,fname,text
10,forge-init.md,"forge-init.md. ## forge init ### NAME forge-init - Create a new Forge project. ### SYNOPSIS ``forge init`` [*options*] [*root*] ### DESCRIPTION Create a new Forge project in the directory *root* (by default the current working directory). The default template creates the following project layout: ```ignore {{#include ../../output/hello_foundry/tree-with-files:output}} ``` However, it is possible to create a project from another using `--template`. By default, `forge init` will also initialize a new git repository, install some submodules and create an initial commit message. If you do not want this behavior, pass `--no-git`. ### OPTIONS #### Init Options `--force` &nbsp;&nbsp;&nbsp;&nbsp;Create the project even if the specified root directory is not empty. `-t` *template* `--template` *template* &nbsp;&nbsp;&nbsp;&nbsp;The template to start from. `--vscode` &nbsp;&nbsp;&nbsp;&nbsp;Create a `.vscode/settings.json` file with Solidity settings, and generate a `remappings.txt` file. `--offline` &nbsp;&nbsp;&nbsp;&nbsp;Do not install dependencies from the network. #### VCS Options `--no-commit` &nbsp;&nbsp;&nbsp;&nbsp;Do not create an initial commit. `--no-git` &nbsp;&nbsp;&nbsp;&nbsp;Do not create a git repository. #### Display Options `-q` `--quiet` &nbsp;&nbsp;&nbsp;&nbsp;Do not print any messages. {{#include common-options.md}} ### EXAMPLES 1. Create a new project:  ```sh  forge init hello_foundry  ``` 2. Create a new project, but do not create a git repository:  ```sh  forge init --no-git hello_foundry  ``` 3. Forcibly create a new project in a non-empty directory:  ```sh  forge init --force  ``` ### SEE ALSO [forge](./forge.md) "
11,cast--to-hexdata.md,"cast--to-hexdata.md. ## cast --to-hexdata ### NAME cast---to-hexdata - Normalize the input to lowercase, 0x-prefixed hex. ### SYNOPSIS ``cast --to-hexdata`` [*options*] *input* ### DESCRIPTION Normalize the input to lowercase, 0x-prefixed hex. The input data (*input*) can either be: - Mixed case hex with or without the 0x prefix. - 0x prefixed hex that should be concatenated, separated by `:`. - An absolute path to a file containing hex. - A `@tag`, where the tag is defined in an environment variable. ### OPTIONS {{#include common-options.md}} ### EXAMPLES 1. Add 0x prefix:  ```sh  cast --to-hexdata deadbeef  ``` 2. Concatenate hex values:  ```sh  cast --to-hexdata ""deadbeef:0xbeef""  ``` 3. Normalize hex value in `MY_VAR`:  ```sh  cast --to-hexdata ""@MY_VAR""  ``` ### SEE ALSO [cast](./cast.md) "
12,cast--from-utf8.md,"cast--from-utf8.md. ## cast --from-utf8 ### NAME cast---from-utf8 - Convert UTF8 text to hex. ### SYNOPSIS ``cast --from-utf8`` [*options*] *text* ### DESCRIPTION Convert UTF8 text to hex. ### OPTIONS {{#include common-options.md}} ### EXAMPLES 1. Convert UTF8 text to hex:  ```sh  cast --from-utf8 ""hello""  ``` ### SEE ALSO [cast](./cast.md) "
13,store.md,"store.md. ## `store` ### Signature ```solidity function store(address account, bytes32 slot, bytes32 value) external; ``` ### Description Stores the value `value` in storage slot `slot` on account `account`. ### Examples ```solidity /// contract LeetContract { ///  uint256 private leet = 1337; // slot 0 /// } vm.store(address(leetContract), bytes32(uint256(0)), bytes32(uint256(31337))); bytes32 leet = vm.load(address(leetContract), bytes32(uint256(0))); emit log_uint(uint256(leet)); // 31337 ``` ### SEE ALSO Forge Standard Library [Std Storage](../reference/forge-std/std-storage.md)"
14,env-int.md,"env-int.md. ## `envInt` ### Signature ```solidity function envInt(string calldata key) external returns (int256 value); ``` ```solidity function envInt(string calldata key, string calldata delimiter) external returns (int256[] memory values); ``` ### Description Read an environment variable as `int256` or `int256[]`. ### Tips - If the value starts with `0x`, `-0x` or `+0x`, it will be interpreted as a hex value, otherwise, it will be treated as a decimal number. - For arrays, you can specify the delimiter used to seperate the values with the `delimiter` parameter. ### Examples #### Single Value With environment variable `INT_VALUE=-57896044618658097711785492504343953926634992332820282019728792003956564819968`, ```solidity string memory key = ""INT_VALUE""; int256 expected = type(int256).min; int256 output = cheats.envInt(key); assert(output == expected); ``` #### Array With environment variable `INT_VALUES=-0x8000000000000000000000000000000000000000000000000000000000000000,+0x7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF`, ```solidity string memory key = ""INT_VALUES""; string memory delimiter = "",""; int256[2] memory expected = [type(int256).min, type(int256).max]; int256[] memory output = cheats.envInt(key, delimiter); assert(keccak256(abi.encodePacked((output))) == keccak256(abi.encodePacked((expected)))); ``` "
15,executor-options.md,executor-options.md. #### Executor Options `--base-fee <FEE>` `--block-base-fee-per-gas <FEE>` &nbsp;&nbsp;&nbsp;&nbsp;The base fee in a block (in wei). `--block-coinbase` *address* &nbsp;&nbsp;&nbsp;&nbsp;The coinbase of the block. `--block-difficulty` *difficulty* &nbsp;&nbsp;&nbsp;&nbsp;The block difficulty. `--block-gas-limit` *gas_limit* &nbsp;&nbsp;&nbsp;&nbsp;The block gas limit. `--block-number` *block* &nbsp;&nbsp;&nbsp;&nbsp;The block number. `--block-timestamp` *timestamp* &nbsp;&nbsp;&nbsp;&nbsp;The timestamp of the block (in seconds). `--chain-id` *chain_id* &nbsp;&nbsp;&nbsp;&nbsp;The chain ID. `--gas-limit` *gas_limit* &nbsp;&nbsp;&nbsp;&nbsp;The block gas limit. `--gas-price` *gas_price* &nbsp;&nbsp;&nbsp;&nbsp;The gas price (in wei). `--tx-origin` *address* &nbsp;&nbsp;&nbsp;&nbsp;The transaction origin. 
16,forge-verify-contract.md,"forge-verify-contract.md. ## forge verify-contract ### NAME forge-verify-contract - Verify smart contracts on a chosen verification provider. ### SYNOPSIS ``forge verify-contract`` [*options*] *address* *contract* ### DESCRIPTION Verifies a smart contract on a chosen verification provider. You must provide: - The contract address - The contract name or the path to the contract (read below) In case of Etherscan verification, you must also provide: - Your Etherscan API key, either by passing it as an argument or setting `ETHERSCAN_API_KEY` To find the exact compiler version, run `~/.svm/x.y.z/solc-x.y.z --version` and search for the 8 hex digits in the version string [here](https://etherscan.io/solcversions). The path to the contract is in the format `<path>:<contract>`, e.g. `src/Contract.sol:Contract`. By default, smart contracts are verified in a multi-file fashion. If you want to flatten the contract before verifying, pass `--flatten`. This command will try to compile the source code of the flattened contract if `--flatten` is passed before verifying. If you do not want that, pass `--force`. You can specify **ABI-encoded** constructor arguments with `--constructor-args`. Alternatively, you can specify a file containing **space-separated** constructor arguments with `--constructor-args-path`. (Note that [cache](../config/project.html#cache) must be enabled in the config for the latter to work.) ### OPTIONS #### Verify Contract Options {{#include ../common/verifier-options.md}} `--compiler-version` *version* &nbsp;&nbsp;&nbsp;&nbsp;The compiler version used to build the smart contract. &nbsp;&nbsp;&nbsp;&nbsp;To find the exact compiler version, run `~/.svm/x.y.z/solc-x.y.z --version` where `x` and `y` are major and minor version numbers respectively, then search for the 8 hex digits in the version string [here](https://etherscan.io/solcversions). `--num-of-optimizations` *num* `--optimizer-runs` *num*  &nbsp;&nbsp;&nbsp;&nbsp;The number of optimization runs used to build the smart contract. `--constructor-args` *args* &nbsp;&nbsp;&nbsp;&nbsp;The ABI-encoded constructor arguments. Conflicts with `--constructor-args-path`. `--constructor-args-path` *file* &nbsp;&nbsp;&nbsp;&nbsp;The path to a file containing the constructor arguments. Conflicts with `--constructor-args`. `--chain-id` *chain* `--chain` *chain* &nbsp;&nbsp;&nbsp;&nbsp;The ID or name of the chain the contract is deployed to. &nbsp;&nbsp;&nbsp;&nbsp;Default: mainnet `--flatten` &nbsp;&nbsp;&nbsp;&nbsp;Flag indicating whether to flatten the source code before verifying. &nbsp;&nbsp;&nbsp;&nbsp;If this flag is not provided, the JSON standard input will be used instead. `-f` `--force` &nbsp;&nbsp;&nbsp;&nbsp;Do not compile the flattened smart contract before verifying. {{#include ../common/retry-options.md}} `--watch` &nbsp;&nbsp;&nbsp;&nbsp;Wait for verification result after submission. &nbsp;&nbsp;&nbsp;&nbsp;Automatically runs `forge verify-check` until the verification either fails or succeeds. {{#include project-options.md}} {{#include common-options.md}} ### EXAMPLES 1. Verify a contract with JSON standard input on Etherscan  ```sh  forge verify-contract <address> SomeContract --watch 2. Verify a contract on a custom Sourcify instance  ```sh  forge verify-contract --verifier sourcify \  --verifier-url http://localhost:5000 <address> SomeContract  ``` 3. Verify a flattened contract built with solc v0.8.11+commit.d7f03943:  ```sh  forge verify-contract --flatten --watch --compiler-version ""v0.8.11+commit.d7f03943"" \  --constructor-args $(cast abi-encode ""constructor(string,string,uint256,uint256)"" ""ForgeUSD"" ""FUSD"" 18 1000000000000000000000) \  <address> MyToken  ``` 4. Verify a flattened contract by specifying constructor arguments in a file:  ```sh  forge verify-contract --flatten --watch --compiler-version ""v0.8.11+commit.d7f03943"" \  --constructor-args-path constructor-args.txt <address> src/Token.sol:MyToken  ```  where `constructor-args.txt` contains the following content:  ```text  ForgeUSD FUSD 18 1000000000000000000000  ``` ### SEE ALSO [forge](./forge.md), [forge create](./forge-create.md), [forge flatten](./forge-flatten.md), [forge verify-check](./forge-verify-check.md) "
17,expect-emit.md,"expect-emit.md. ## `expectEmit` ### Signature ```solidity function expectEmit(  bool checkTopic1,  bool checkTopic2,  bool checkTopic3,  bool checkData ) external; ``` ```solidity function expectEmit(  bool checkTopic1,  bool checkTopic2,  bool checkTopic3,  bool checkData,  address emitter ) external; ``` ### Description Assert a specific log is emitted during the next call. 1. Call the cheat code, specifying whether we should check the first, second or third topic, and the log data. Topic 0 is always checked. 2. Emit the event we are supposed to see during the next call. 3. Perform the call. You can perform steps 1 and 2 multiple times to match a _sequence_ of events in the next call. If the event is not available in the current scope (e.g. if we are using an interface, or an external smart contract), we can define the event ourselves with an identical event signature. There are 2 signatures: - **Without checking the emitter address**: Asserts the topics match **without** checking the emitting address. - **With `address`**: Asserts the topics match and that the emitting address matches. > ℹ️ **Matching sequences** > > In functions that emit a lot of events, it's possible to ""skip"" events and only match a specific sequence, > but this sequence must always be in order. As an example, let's say a > function emits events: `A, B, C, D, E, F, F, G`. > > `expectEmit` will be able to match ranges with and without skipping events in between: > - `[A, B, C]` is valid. > - `[B, D, F]` is valid. > - `[G]` or any other single event combination is valid. > - `[B, A]` or similar out-of-order combinations are **invalid** (events must be in order). > - `[C, F, F]` is valid. > - `[F, F, C]` is **invalid** (out of order). ### Examples This does not check the emitting address. ```solidity event Transfer(address indexed from, address indexed to, uint256 amount); function testERC20EmitsTransfer() public {  // Only `from` and `to` are indexed in ERC20's `Transfer` event,  // so we specifically check topics 1 and 2 (topic 0 is always checked by default),  // as well as the data (`amount`).  vm.expectEmit(true, true, false, true);  // We emit the event we expect to see.  emit MyToken.Transfer(address(this), address(1), 10);  // We perform the call.  myToken.transfer(address(1), 10); } ``` This does check the emitting address. ```solidity event Transfer(address indexed from, address indexed to, uint256 amount); function testERC20EmitsTransfer() public {  // We check that the token is the event emitter by passing the address as the fifth argument.  vm.expectEmit(true, true, false, true, address(myToken));  emit MyToken.Transfer(address(this), address(1), 10);  // We perform the call.  myToken.transfer(address(1), 10); } ``` We can also assert that multiple events are emitted in a single call. ```solidity function testERC20EmitsBatchTransfer() public {  // We declare multiple expected transfer events  for (uint256 i = 0; i < users.length; i++) {   vm.expectEmit(true, true, true, true);   emit Transfer(address(this), users[i], 10);  }  // We also expect a custom `BatchTransfer(uint256 numberOfTransfers)` event.  vm.expectEmit(false, false, false, true);  emit BatchTransfer(users.length);  // We perform the call.  myToken.batchTransfer(users, 10); } ``` This example fails, as the expected event is not emitted on the next call. ```solidity event Transfer(address indexed from, address indexed to, uint256 amount); function testERC20EmitsTransfer() public {  // We check that the token is the event emitter by passing the address as the fifth argument.  vm.expectEmit(true, true, false, true, address(myToken));  emit MyToken.Transfer(address(this), address(1), 10);  // We perform an unrelated call that won't emit the intended event,  // making the cheatcode fail.  myToken.approve(address(this), 1e18);  // We perform the call, but it will have no effect as the cheatcode has already failed.  myToken.transfer(address(1), 10); } ```"
18,fail.md,"fail.md. ## `fail` ### Signature ```solidity function fail(string memory err) internal virtual; ``` ### Description Fail a test with a message if a certain branch or execution point is hit. ### Examples ```solidity function test() external {  for(uint256 place; place < 10; ++i){   if(game.leaderboard(place) == address(this)) return;  }  fail(""Not in the top 10.""); } ```"
19,cast-block.md,"cast-block.md. ## cast block ### NAME cast-block - Get information about a block. ### SYNOPSIS ``cast block`` [*options*] [*block*] ### DESCRIPTION Get information about a block. The specified *block* can be a block number, or any of the tags: `earliest`, `finalized`, `safe`, `latest` or `pending`. Default to `latest`. ### OPTIONS `-f` *field* `--field` *field* &nbsp;&nbsp;&nbsp;&nbsp; If specified, only get the given field of the block. {{#include ../common/display-options.md}} #### RPC Options {{#include ../common/rpc-url-option.md}} {{#include common-options.md}} ### EXAMPLES 1. Get the latest block:  ```sh  cast block  ``` 2. Get the `finalized` block:  ```sh  cast block finalized  ``` 3. Get the hash of the latest block:  ```sh  cast block latest -f hash  ``` ### SEE ALSO [cast](./cast.md), [cast basefee](./cast-basefee.md), [cast age](./cast-age.md) "
20,create-select-fork.md,"create-select-fork.md. ## `createSelectFork` ### Signature ```solidity function createSelectFork(string calldata urlOrAlias) external returns (uint256); ``` ```solidity function createSelectFork(string calldata urlOrAlias, uint256 block) external returns (uint256); ``` ```solidity function createSelectFork(string calldata urlOrAlias, bytes32 transaction) external returns (uint256); ``` ### Description Creates _and_ selects a new fork from the given endpoint and returns the identifier of the fork. If a block number is passed as an argument, the fork will begin on that block, otherwise it will begin on the _latest_ block. If a transaction hash is provided, it will roll the fork to the block the transaction was mined in and replays all previously executed transactions. ### Examples Create and select a new mainnet fork with the latest block number: ```solidity uint256 forkId = vm.createSelectFork(MAINNET_RPC_URL); assertEq(block.number, 15_171_037); // as of time of writing, 2022-07-19 04:55:27 UTC ``` Create and select a new mainnet fork with a given block number: ```solidity uint256 forkId = vm.createSelectFork(MAINNET_RPC_URL, 1_337_000); assertEq(block.number, 1_337_000); ``` ### SEE ALSO - [createFork](./create-fork.md) - [selectFork](./select-fork.md) "
21,fee.md,fee.md. ## `fee` ### Signature ```solidity function fee(uint256) external; ``` ### Description Sets `block.basefee`. ### Examples ```solidity vm.fee(25 gwei); emit log_uint(block.basefee); // 25000000000 ``` 
22,is-persistent.md,is-persistent.md. ## `isPersistent` ### Signature ```solidity function isPersistent(address) external returns (bool); ``` ### Description Returns whether an account is marked as persistent ([`makePersistent`](./make-persistent.md)). ### Examples Check default status of `msg.sender` and the current test account ```solidity // By default the `sender` and the test contract itself are persistent assert(cheats.isPersistent(msg.sender)); assert(cheats.isPersistent(address(this))); ``` ### SEE ALSO - [makePersistent](./make-persistent.md) - [revokePersistent](./revoke-persistent.md) 
23,debugger.md,"debugger.md. ## Debugger Forge ships with an interactive debugger. The debugger is accessible on [`forge debug`](../reference/forge/forge-debug.md) and on [`forge test`](../reference/forge/forge-test.md). Using `forge test`: ```sh $ forge test --debug $FUNC ``` Where `$FUNC` is the signature of the function you want to debug. For example: ```sh $ forge test --debug ""testSomething()"" ``` If you have multiple contracts with the same function name, you need to limit the matching functions down to only one case using `--match-path` and `--match-contract`. If the matching test is a fuzz test, the debugger will open the first failing fuzz scenario, or the last successful one, whichever comes first. Using `forge debug`: ```sh $ forge debug --debug $FILE --sig $FUNC ``` Where `$FILE` is the path to the contract you want to debug, and `$FUNC` is the signature of the function you want to debug. For example: ```sh $ forge debug --debug src/SomeContract.sol --sig ""myFunc(uint256,string)"" 123 ""hello"" ``` You can also specify raw calldata using `--sig` instead of a function signature. If your source file contains more than one contract, specify the contract you want to debug using the `--target-contract` flag. ### Debugger layout ![An image of the debugger UI](../images/debugger.png) When the debugger is run, you are presented with a terminal divided into four quadrants: - **Quadrant 1**: The opcodes in the debugging session, with the current opcode highlighted. Additionally, the address of the current account, the program counter and the accumulated gas usage is also displayed - **Quadrant 2**: The current stack, as well as the size of the stack - **Quadrant 3**: The source view - **Quadrant 4**: The current memory of the EVM As you step through your code, you will notice that the words in the stack and memory sometimes change color. For the memory: - **Red words** are about to be written to by the current opcode - **Green words** were written to by the previous opcode - **Cyan words** are being read by the current opcode For the stack, **cyan words** are either being read or popped by the current opcode. ### Navigating ### General - <kbd>q</kbd>: Quit the debugger - <kbd>h</kbd>: Show help ### Navigating calls - <kbd>0-9</kbd> + <kbd>k</kbd>: Step a number of times backwards (alternatively scroll up with your mouse) - <kbd>0-9</kbd> + <kbd>j</kbd>: Step a number of times forwards (alternatively scroll down with your mouse) - <kbd>g</kbd>: Move to the beginning of the transaction - <kbd>G</kbd>: Move to the end of the transaction - <kbd>c</kbd>: Move to the previous call-type instruction (i.e. [`CALL`][op-call], [`STATICCALL`][op-staticcall], [`DELEGATECALL`][op-delegatecall], and [`CALLCODE`][op-callcode]). - <kbd>C</kbd>: Move to the next call-type instruction - <kbd>a</kbd>: Move to the previous [`JUMP`][op-jump] or [`JUMPI`][op-jumpi] instruction - <kbd>s</kbd>: Move to the next [`JUMPDEST`][op-jumpdest] instruction - <kbd>'</kbd> + <kbd>a-z</kbd>: Move to `<char>` breakpoint set by a [`vm.breakpoint`][cheat-breakpoint] cheatcode ### Navigating memory - <kbd>Ctrl</kbd> + <kbd>j</kbd>: Scroll the memory view down - <kbd>Ctrl</kbd> + <kbd>k</kbd>: Scroll the memory view up - <kbd>m</kbd>: Show memory as UTF8 ### Navigating the stack - <kbd>J</kbd>: Scroll the stack view down - <kbd>K</kbd>: Scroll the stack view up - <kbd>t</kbd>: Show labels on the stack to see what items the current op will consume [op-call]: https://www.evm.codes/#f1 [op-staticcall]: https://www.evm.codes/#fa [op-delegatecall]: https://www.evm.codes/#f4 [op-callcode]: https://www.evm.codes/#f2 [op-jumpdest]: https://www.evm.codes/#5b [op-jump]: https://www.evm.codes/#f1 [op-jumpi]: https://www.evm.codes/#57 [cheat-breakpoint]: ../cheatcodes/breakpoint.md "
24,write-json.md,"write-json.md. ## `writeJson` ### Signature ```solidity function writeJson(string calldata json, string calldata path) external; function writeJson(string calldata json, string calldata path, string calldata valueKey) external; ``` ### Description Writes a serialized JSON object to a file. The argument `json` must be a JSON object in stringified form. For example: ```text { ""boolean"": true, ""number"": 342, ""object"": { ""title"": ""finally json serialization"" } } ``` This is usually built through [serializeJson](./serialize-json.md). The argument `path` is the path of the JSON file to write to. If no `valueKey` is provided, then the JSON object will be written to a new file. If the file already exists, it will be overwritten. If a `valueKey` is provided, then the file must already exist and be a valid JSON file. The object in that file will be updated by replacing the value at the *JSON path* `valueKey` with the JSON object `json`. This is useful to replace some values in a JSON file without having to first parse and then reserialize it. Note that the JSON path must indicate an existing key, so it's not possible to add new keys this way. **Remember:** The file path `path` needs to be in the allowed paths. Read more in [File cheatcodes](./fs.md). #### JSON Paths Let's consider the following JSON object: ```json { ""boolean"": true, ""number"": 342, ""obj1"": {  ""aNumber"": 123,  ""obj2"": {  ""aNumber"": 123,  ""obj3"": {   ""veryDeep"": 13371337  }  } } } ``` The root object is always assumed, so we can refer to one of its children by starting the path with a dot (`.`). For instance, `.boolean`, `.number`, and `.obj1`. We can go as deep as we want: `.obj1.aNumber`, or `.obj1.obj2.aNumber`. We can even search for a key in a subtree: `.obj1..veryDeep`, or just `..veryDeep` since there's no ambiguity. See the examples to see this in action. ### Examples #### A simple example ```solidity string memory jsonObj = '{ ""boolean"": true, ""number"": 342, ""myObject"": { ""title"": ""finally json serialization"" } }'; vm.writeJson(jsonObj, ""./output/example.json""); // replaces the value of `myObject` with a new object string memory newJsonObj = '{ ""aNumber"": 123, ""aString"": ""asd"" }'; vm.writeJson(newJsonObj, ""./output/example.json"", "".myObject""); // replaces the value of `aString` in the new object vm.writeJson(""my new string"", ""./output/example.json"", "".myObject.aString""); // Here's example.json: // // { // ""boolean"": true, // ""number"": 342, // ""myObject"": { //  ""aNumber"": 123, //  ""aString"": ""my new string"" // } // } ``` #### A more complex example ```solidity string memory jsonObj = '{ ""boolean"": true, ""number"": 342, ""obj1"": { ""foo"": ""bar"" } }'; vm.writeJson(jsonObj, ""./output/example2.json""); string memory jsonObj2 = '{ ""aNumber"": 123, ""obj2"": {} }'; vm.writeJson(jsonObj2, ""./output/example2.json"", "".obj1""); string memory jsonObj3 = '{ ""aNumber"": 123, ""obj3"": { ""veryDeep"": 3 } }'; vm.writeJson(jsonObj3, ""./output/example2.json"", "".obj1.obj2""); // Here's example2.json so far: // // { // ""boolean"": true, // ""number"": 342, // ""obj1"": { //  ""aNumber"": 123, //  ""obj2"": { //  ""aNumber"": 123, //  ""obj3"": { //   ""veryDeep"": 3 //  } //  } // } // } // Note that the JSON object is just the value 13371337 in this case. vm.writeJson(""13371337"", ""./output/example2.json"", ""..veryDeep""); // Here's the final example2.json: // // { // ""boolean"": true, // ""number"": 342, // ""obj1"": { //  ""aNumber"": 123, //  ""obj2"": { //  ""aNumber"": 123, //  ""obj3"": { //   ""veryDeep"": 13371337 //  } //  } // } // } ``` ### SEE ALSO - [serializeJson](./serialize-json.md) "
